Transaction Date,Transaction Details,CRDR,Category
29-06-22,NEFT/CITIN22296937634/PAYPAL PAYMENTS PL-OPGSP COL,,Software Sales
29-06-22,NEFT/000257625914/IBKL/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
29-06-22,NEFT/000257624218/KKBK/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
29-06-22,NEFT/000257620728/FDRL/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
29-06-22,NEFT/CITIN22296558299/PAYONEER INC OPGSP INR A/C/C,,Affiliate Income
29-06-22,NEFT/217802578GN00001/Deutsche Bank London/DEUT/78,,App Sales
24-06-22,NEFT/000256834324/IBKL/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
24-06-22,NEFT/000256833927/KKBK/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
24-06-22,NEFT/000256833528/FDRL/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
23-06-22,NEFT/CITIN22293747380/PAYPAL PAYMENTS PL-OPGSP COL,,Affiliate Income
23-06-22,NEFT/000256614789/SBIN/Priyadarshan Joshi,,Credit Card Expense
23-06-22,709014916214 : Closure Proceeds,,FD Closure
23-06-22,709014890563 : Closure Proceeds,,FD Closure
22-06-22,NEFT/000256460398/IBKL/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
22-06-22,NEFT/000256460040/KKBK/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
22-06-22,NEFT/000256458841/FDRL/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
22-06-22,NEFT/CITIN22293262670/PAYPAL PAYMENTS PL-OPGSP COL,,Affiliate Income
22-06-22,NEFT/HSBCN22173991867/HSBC BANK PLC/HSBC/560002,,Affiliate Income
17-06-22,NEFT/000255708697/IBKL/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
17-06-22,NEFT/000255708486/KKBK/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
17-06-22,NEFT/000255708266/FDRL/UPNEXO TECHNOLOGIES PVT. LT,,Interbank Transfer
